1,0,2,1,3,2,4,3,5,4,6,5,7,6,8,7,9,8,10,9
2,2,0,3,3,1,4,4,2,5,5,3,6,6,4,7,7,5,8,8
3,1,3,0,4,2,4,1,5,3,5,2,6,4,6,3,7,5,7,4
4,3,3,4,0,4,4,4,5,1,5,5,5,6,2,6,6,6,7,3
5,2,1,2,4,0,4,3,2,3,5,1,5,4,3,4,6,2,6,5
6,4,4,4,4,4,0,6,5,5,5,5,5,1,7,6,6,6,6,6
7,3,4,1,4,3,6,0,6,4,5,2,5,4,7,1,7,5,6,3
8,5,2,5,5,2,5,6,0,5,6,3,6,6,3,6,7,1,6,7
9,4,5,3,1,3,5,4,5,0,5,4,6,4,2,4,6,5,6,1
10,6,5,5,5,5,5,5,6,5,0,6,7,6,6,6,6,6,6,7
11,5,3,2,5,1,5,2,3,4,6,0,6,4,4,3,6,2,6,3
12,7,6,6,5,5,5,5,6,6,7,6,0,6,7,7,7,6,6,6
13,6,6,4,6,4,1,4,6,4,6,4,6,0,6,6,6,5,6,5
14,8,4,6,2,3,7,7,3,2,6,4,7,6,0,6,7,4,6,3
15,7,7,3,6,4,6,1,6,4,6,3,7,6,6,0,8,6,8,4
16,9,7,7,6,6,6,7,7,6,6,6,7,6,7,8,0,7,10,7
17,8,5,5,6,2,6,5,1,5,6,2,6,5,4,6,7,0,7,5
18,10,8,7,7,6,6,6,6,6,6,6,6,6,6,8,10,7,0,8
19,9,8,4,3,5,6,3,7,1,7,3,6,5,3,4,7,5,8,0
20,11,6,8,7,4,2,6,4,6,6,4,6,2,4,7,8,4,7,7
